Time,Batch Size
06:00:00,6
06:10:00,3
06:20:00,3
06:30:00,3
06:40:00,3
06:50:00,3
07:00:00,3
07:10:00,3
07:20:00,3
07:30:00,3
07:40:00,3
07:50:00,3
08:00:00,3
08:10:00,3
08:20:00,3
08:30:00,3
08:40:00,3
08:50:00,3
09:00:00,3
09:10:00,3
09:20:00,3
09:30:00,3
09:40:00,3
09:50:00,3
10:00:00,3
10:10:00,3
10:20:00,3
10:30:00,3
10:40:00,3
10:50:00,3
11:00:00,3
11:10:00,3
11:20:00,3
11:30:00,3
11:40:00,3
11:50:00,3
12:00:00,3
12:10:00,3
12:20:00,3
12:30:00,3
12:40:00,3
12:50:00,3
13:00:00,3
13:10:00,3
13:20:00,3
13:30:00,3
13:40:00,3
13:50:00,3
14:00:00,5
14:10:00,5
14:20:00,5
14:30:00,5
14:40:00,5
14:50:00,5
15:00:00,5
15:10:00,5
15:20:00,5
15:30:00,5
15:40:00,5
15:50:00,5
16:00:00,5
16:10:00,5
16:20:00,5
16:30:00,5
16:40:00,5
16:50:00,5
17:00:00,5
17:10:00,5
17:20:00,5
17:30:00,5
17:40:00,5
17:50:00,5
18:00:00,5
18:10:00,5
18:20:00,5
18:30:00,5
18:40:00,5
18:50:00,5
19:00:00,5
19:10:00,5
19:20:00,5
19:30:00,5
19:40:00,5
19:50:00,5
20:00:00,5
20:10:00,5
20:20:00,5
